citation,doi,url,summary_of_paper_topic,theme_name,theme_description
"Ashe SC, Furness PJ, Taylor SJ, Haywood-Small S, Lawson K (2017) A qualitative exploration of the experiences of living with and being treated for fibromyalgia. Health Psychology Open 4(2): 2055102917724336.",10.1177/2055102917724336,https://pmc.ncbi.nlm.nih.gov/articles/PMC5779932/,Fibromyalgia patients' lived experiences and treatment,An Unconventional Healthcare Experience,"Healthcare encounters deviated significantly from traditional medical pathways. Participants described prolonged diagnostic processes, dismissive consultations, and a perception of being mistrusted regarding pain medication requests. They noted conflicting treatment approaches and insufficient specialist knowledge among healthcare providers."
"Ashe SC, Furness PJ, Taylor SJ, Haywood-Small S, Lawson K (2017) A qualitative exploration of the experiences of living with and being treated for fibromyalgia. Health Psychology Open 4(2): 2055102917724336.",10.1177/2055102917724336,https://pmc.ncbi.nlm.nih.gov/articles/PMC5779932/,Fibromyalgia patients' lived experiences and treatment,Re-creating Support Networks,"Participants restructured their social connections, forming what one described as a Fibro-family with others who understood the condition. Traditional friendships often dissolved due to incomprehension, while support groups provided crucial validation and mutual understanding previously unavailable."
"Ashe SC, Furness PJ, Taylor SJ, Haywood-Small S, Lawson K (2017) A qualitative exploration of the experiences of living with and being treated for fibromyalgia. Health Psychology Open 4(2): 2055102917724336.",10.1177/2055102917724336,https://pmc.ncbi.nlm.nih.gov/articles/PMC5779932/,Fibromyalgia patients' lived experiences and treatment,Challenging the Working Identity,"Fibromyalgia forced occupational withdrawal or significant work modifications, undermining participants' professional identities and self-esteem. Many experienced financial strain, guilt about inability to provide for families, and stigmatization regarding disability benefits."
"Ashe SC, Furness PJ, Taylor SJ, Haywood-Small S, Lawson K (2017) A qualitative exploration of the experiences of living with and being treated for fibromyalgia. Health Psychology Open 4(2): 2055102917724336.",10.1177/2055102917724336,https://pmc.ncbi.nlm.nih.gov/articles/PMC5779932/,Fibromyalgia patients' lived experiences and treatment,Threatening the Family Dynamic,"The condition disrupted family functioning, requiring dependence on partners for daily tasks and affecting parenting capabilities. Participants experienced strain in relationships and recognized their symptoms negatively impacted children's development and emotional wellbeing."
"Ashe SC, Furness PJ, Taylor SJ, Haywood-Small S, Lawson K (2017) A qualitative exploration of the experiences of living with and being treated for fibromyalgia. Health Psychology Open 4(2): 2055102917724336.",10.1177/2055102917724336,https://pmc.ncbi.nlm.nih.gov/articles/PMC5779932/,Fibromyalgia patients' lived experiences and treatment,"Fighting, Accepting or Accommodating?","Participants described an ongoing struggle with their condition rather than genuine acceptance. They adapted through lifestyle modifications, mobility aids, and home adjustments while maintaining pragmatism despite barriers to support."
"Kamp KJ, Morgan H, Yoo L, Munson SA, Heitkemper MM, Levy RL (2022) Symptom management needs of patients with irritable bowel syndrome and concurrent anxiety and/or depression: A qualitative study. Journal of Advanced Nursing 79(2): 775-788.",10.1111/jan.15532,https://pmc.ncbi.nlm.nih.gov/articles/PMC9877173/,IBS patients with anxiety/depression symptom management needs,IBS negatively impacts physical and mental well-being,"Shared experiences with distressing physical symptoms (abdominal pain, urgency, diarrhea, constipation, bloating). Bidirectional relationship between IBS symptoms and anxiety/depression. IBS symptoms disrupt normal activities of daily living. Interpersonal relationships affected by symptom perception and self-consciousness."
"Kamp KJ, Morgan H, Yoo L, Munson SA, Heitkemper MM, Levy RL (2022) Symptom management needs of patients with irritable bowel syndrome and concurrent anxiety and/or depression: A qualitative study. Journal of Advanced Nursing 79(2): 775-788.",10.1111/jan.15532,https://pmc.ncbi.nlm.nih.gov/articles/PMC9877173/,IBS patients with anxiety/depression symptom management needs,A trial-and-error approach to symptom management,"Identifying strategies for managing symptoms through dietary approaches and complementary methods. Impractical and ineffective interventions that lack personalization. Multiple attempts at various interventions: what haven't I tried? reflecting frustration with ongoing symptom management."
"Kamp KJ, Morgan H, Yoo L, Munson SA, Heitkemper MM, Levy RL (2022) Symptom management needs of patients with irritable bowel syndrome and concurrent anxiety and/or depression: A qualitative study. Journal of Advanced Nursing 79(2): 775-788.",10.1111/jan.15532,https://pmc.ncbi.nlm.nih.gov/articles/PMC9877173/,IBS patients with anxiety/depression symptom management needs,Challenges with healthcare professionals supporting symptom management,"Negative interactions including provider dismissal and attribution to mental health causes. Lack of nutritional expertise and support, particularly regarding dietitian access and guidance."
"Varinen A, Vuorio T, Kosunen E, Koskela TH (2022) Experiences of patients with fibromyalgia at a Finnish Health Centre: A qualitative study. European Journal of General Practice 28(1): 157-164.",10.1080/13814788.2022.2085683,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225685/,Finnish fibromyalgia patients' diagnostic experiences in primary care,Prolonged diagnostic process,"Patients experienced extended waiting periods for fibromyalgia diagnosis, often undergoing repeated tests for rheumatoid arthritis and other conditions that yielded negative results."
"Varinen A, Vuorio T, Kosunen E, Koskela TH (2022) Experiences of patients with fibromyalgia at a Finnish Health Centre: A qualitative study. European Journal of General Practice 28(1): 157-164.",10.1080/13814788.2022.2085683,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225685/,Finnish fibromyalgia patients' diagnostic experiences in primary care,Contradictory and suspicious thoughts regarding the diagnosis,"Participants faced conflicting medical opinions, negative societal stigma, and physician hesitation about documenting the diagnosis in medical records."
"Varinen A, Vuorio T, Kosunen E, Koskela TH (2022) Experiences of patients with fibromyalgia at a Finnish Health Centre: A qualitative study. European Journal of General Practice 28(1): 157-164.",10.1080/13814788.2022.2085683,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225685/,Finnish fibromyalgia patients' diagnostic experiences in primary care,Searching for a reason for the illness,"Patients explored potential causes including hereditary factors, psychological stressors, and physical predispositions like joint hypermobility."
"Varinen A, Vuorio T, Kosunen E, Koskela TH (2022) Experiences of patients with fibromyalgia at a Finnish Health Centre: A qualitative study. European Journal of General Practice 28(1): 157-164.",10.1080/13814788.2022.2085683,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225685/,Finnish fibromyalgia patients' diagnostic experiences in primary care,Lack of compassion and understanding,"Patients reported feeling doubted by healthcare providers and relatives due to the invisibility of fibromyalgia symptoms."
"Varinen A, Vuorio T, Kosunen E, Koskela TH (2022) Experiences of patients with fibromyalgia at a Finnish Health Centre: A qualitative study. European Journal of General Practice 28(1): 157-164.",10.1080/13814788.2022.2085683,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225685/,Finnish fibromyalgia patients' diagnostic experiences in primary care,The importance of the doctor-patient relationship,"Continuity of care and physician familiarity with fibromyalgia treatment were essential for patient satisfaction and outcomes."
"Varinen A, Vuorio T, Kosunen E, Koskela TH (2022) Experiences of patients with fibromyalgia at a Finnish Health Centre: A qualitative study. European Journal of General Practice 28(1): 157-164.",10.1080/13814788.2022.2085683,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225685/,Finnish fibromyalgia patients' diagnostic experiences in primary care,Illness and identity,"Patients struggled accepting a chronic condition without cure, forcing adoption of new life organizational strategies."
"Varinen A, Vuorio T, Kosunen E, Koskela TH (2022) Experiences of patients with fibromyalgia at a Finnish Health Centre: A qualitative study. European Journal of General Practice 28(1): 157-164.",10.1080/13814788.2022.2085683,https://pmc.ncbi.nlm.nih.gov/articles/PMC9225685/,Finnish fibromyalgia patients' diagnostic experiences in primary care,Conceptions of the treatment,"Varied patient perspectives on medication effectiveness, with exercise and meaningful daily activities recognized as beneficial."
"Armoogum J, Foster C, Llewellyn A, Harcourt D, McCabe C (2023) 'I think it affects every aspect of my life, really': Cancer survivors' experience of living with chronic pain after curative cancer treatment in England, UK. PLoS ONE 18(9): e0290967.",10.1371/journal.pone.0290967,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0290967,Cancer survivors' chronic pain experiences post-treatment,'Hear me... believe me... Please',"Survivors reported feeling unheard by healthcare professionals regarding their chronic pain. They described not being listened to when attempting to discuss their condition, and encountering skepticism about whether chronic pain after cancer treatment was genuine. Some felt healthcare providers suspected them of exaggeration or psychological distress rather than accepting their physical pain as real."
"Armoogum J, Foster C, Llewellyn A, Harcourt D, McCabe C (2023) 'I think it affects every aspect of my life, really': Cancer survivors' experience of living with chronic pain after curative cancer treatment in England, UK. PLoS ONE 18(9): e0290967.",10.1371/journal.pone.0290967,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0290967,Cancer survivors' chronic pain experiences post-treatment,'Expectation versus reality',"This theme captures the profound disconnect between anticipating full recovery post-treatment and living daily in persistent pain. Survivors expected acute side effects would resolve but were unprepared for long-term consequences. The reality involved negative impacts across all life domains -- physical, emotional, social, sexual, spiritual, and financial -- with survivors describing their lives as smaller with doors shut."
"Armoogum J, Foster C, Llewellyn A, Harcourt D, McCabe C (2023) 'I think it affects every aspect of my life, really': Cancer survivors' experience of living with chronic pain after curative cancer treatment in England, UK. PLoS ONE 18(9): e0290967.",10.1371/journal.pone.0290967,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0290967,Cancer survivors' chronic pain experiences post-treatment,"'They don't understand... We don't understand'","Characterized by widespread lack of knowledge about chronic pain after cancer treatment among both survivors and healthcare professionals. Participants felt uninformed about risks at diagnosis, unaware of causes or management options, and encountered providers who lacked expertise in this condition."
"Armoogum J, Foster C, Llewellyn A, Harcourt D, McCabe C (2023) 'I think it affects every aspect of my life, really': Cancer survivors' experience of living with chronic pain after curative cancer treatment in England, UK. PLoS ONE 18(9): e0290967.",10.1371/journal.pone.0290967,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0290967,Cancer survivors' chronic pain experiences post-treatment,'Negotiating the maze',"Survivors described difficulty identifying and accessing support services. They reported feeling abandoned post-treatment, struggling to locate appropriate care, facing extended referral delays, traveling significant distances, and experiencing referral cycles between cancer services, pain clinics, and primary care with no clear pathway forward."
"Armoogum J, Foster C, Llewellyn A, Harcourt D, McCabe C (2023) 'I think it affects every aspect of my life, really': Cancer survivors' experience of living with chronic pain after curative cancer treatment in England, UK. PLoS ONE 18(9): e0290967.",10.1371/journal.pone.0290967,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0290967,Cancer survivors' chronic pain experiences post-treatment,"'Validate my pain, validate me'","When healthcare providers diagnosed and explained their chronic pain, survivors experienced profound relief. Receiving formal diagnosis and acknowledgment validated their experiences, reduced self-doubt about being crazy, and paradoxically made the pain more manageable despite unchanged physical symptoms."
"Child S, Goodwin VA, Perry MG, Gericke CA, Byng R (2015) Implementing a patient-initiated review system in rheumatoid arthritis: a qualitative evaluation. BMC Health Services Research 15: 157.",10.1186/s12913-015-0837-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC4404042/,Patient-initiated appointment system for rheumatoid arthritis,Building Patient Confidence and Empowerment,"Education sessions with trusted nurses helped patients understand the new system and overcome initial skepticism about being discharged from consultant lists."
"Child S, Goodwin VA, Perry MG, Gericke CA, Byng R (2015) Implementing a patient-initiated review system in rheumatoid arthritis: a qualitative evaluation. BMC Health Services Research 15: 157.",10.1186/s12913-015-0837-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC4404042/,Patient-initiated appointment system for rheumatoid arthritis,Right Place - Right Time,"The system enabled timely access to care when needed, eliminating wasted appointments when patients were well and reducing long waiting periods for routine check-ups."
"Child S, Goodwin VA, Perry MG, Gericke CA, Byng R (2015) Implementing a patient-initiated review system in rheumatoid arthritis: a qualitative evaluation. BMC Health Services Research 15: 157.",10.1186/s12913-015-0837-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC4404042/,Patient-initiated appointment system for rheumatoid arthritis,Safety,"Concerns emerged about suitability for all patients; some lacked ability to recognize disease deterioration or confidence to call the helpline."
"Child S, Goodwin VA, Perry MG, Gericke CA, Byng R (2015) Implementing a patient-initiated review system in rheumatoid arthritis: a qualitative evaluation. BMC Health Services Research 15: 157.",10.1186/s12913-015-0837-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC4404042/,Patient-initiated appointment system for rheumatoid arthritis,The Everyday Challenges of Managing Change,"Implementation required organizational buy-in, team communication, workload redistribution, and clarification that changes needed management and administrative back up."
"Day HLS (2022) Exploring Online Peer Support Groups for Adults Experiencing Long COVID in the United Kingdom: Qualitative Interview Study. Journal of Medical Internet Research 24(5): e37674.",10.2196/37674,https://pmc.ncbi.nlm.nih.gov/articles/PMC9128729/,UK long COVID patients' online peer support experiences,Filling Professional Care Gaps,"Focuses on inadequate healthcare support where participants faced dismissal from healthcare professionals and turned to online groups. Also covers knowledge generation through peer sharing of therapies and management techniques."
"Day HLS (2022) Exploring Online Peer Support Groups for Adults Experiencing Long COVID in the United Kingdom: Qualitative Interview Study. Journal of Medical Internet Research 24(5): e37674.",10.2196/37674,https://pmc.ncbi.nlm.nih.gov/articles/PMC9128729/,UK long COVID patients' online peer support experiences,Societal Awareness,"Addresses how existing support networks proved insufficient, with peers providing more attuned understanding. Additionally explores advocacy efforts where groups bringing it to light validates the condition's importance."
"Day HLS (2022) Exploring Online Peer Support Groups for Adults Experiencing Long COVID in the United Kingdom: Qualitative Interview Study. Journal of Medical Internet Research 24(5): e37674.",10.2196/37674,https://pmc.ncbi.nlm.nih.gov/articles/PMC9128729/,UK long COVID patients' online peer support experiences,Engagement Behavior,"Describes how participation varied temporally, with members engaging depending on their recovery stage, individual relevance, and emotional state, reflecting fluid involvement patterns."
"Day HLS (2022) Exploring Online Peer Support Groups for Adults Experiencing Long COVID in the United Kingdom: Qualitative Interview Study. Journal of Medical Internet Research 24(5): e37674.",10.2196/37674,https://pmc.ncbi.nlm.nih.gov/articles/PMC9128729/,UK long COVID patients' online peer support experiences,Diversity,"Examines international reach benefits and challenges, varying recovery stages among members, and administration/moderation burdens on group leaders managing large communities."
"Day HLS (2022) Exploring Online Peer Support Groups for Adults Experiencing Long COVID in the United Kingdom: Qualitative Interview Study. Journal of Medical Internet Research 24(5): e37674.",10.2196/37674,https://pmc.ncbi.nlm.nih.gov/articles/PMC9128729/,UK long COVID patients' online peer support experiences,Social Connections,"Emphasizes participants joining groups to feel less alone, finding reassurance through shared symptomology, while noting potential mental health impacts -- both positive and negative -- of group engagement."
"Dennison L, McCloy Smith E, Bradbury K, Galea I (2016) How Do People with Multiple Sclerosis Experience Prognostic Uncertainty and Prognosis Communication? A Qualitative Study. PLoS ONE 11(7): e0158982.",10.1371/journal.pone.0158982,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158982,MS patients' experiences of prognostic uncertainty,Experiencing unsatisfactory HCP communication,"Participants reported minimal opportunities to discuss prognosis with healthcare professionals. Negative communication experiences during diagnosis persisted emotionally over time, creating negative expectations of future interactions. MS nurses were perceived as better communicators than neurologists, though not universally available."
"Dennison L, McCloy Smith E, Bradbury K, Galea I (2016) How Do People with Multiple Sclerosis Experience Prognostic Uncertainty and Prognosis Communication? A Qualitative Study. PLoS ONE 11(7): e0158982.",10.1371/journal.pone.0158982,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158982,MS patients' experiences of prognostic uncertainty,Appreciating and accepting prognostic uncertainty,"Participants demonstrated comprehension of MS's inherent variability and accepted that healthcare providers could not predict individual disease trajectories. Many held philosophical stances toward accepting life's unpredictability rooted in religious beliefs or psychological therapy."
"Dennison L, McCloy Smith E, Bradbury K, Galea I (2016) How Do People with Multiple Sclerosis Experience Prognostic Uncertainty and Prognosis Communication? A Qualitative Study. PLoS ONE 11(7): e0158982.",10.1371/journal.pone.0158982,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158982,MS patients' experiences of prognostic uncertainty,Trying to stay present-focused,"A widespread coping strategy involved focusing on daily life rather than the uncertain future. Participants described living one day at a time or avoiding future-oriented thinking, though intrusive worries about disability and dependence frequently interrupted this approach."
"Dennison L, McCloy Smith E, Bradbury K, Galea I (2016) How Do People with Multiple Sclerosis Experience Prognostic Uncertainty and Prognosis Communication? A Qualitative Study. PLoS ONE 11(7): e0158982.",10.1371/journal.pone.0158982,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158982,MS patients' experiences of prognostic uncertainty,Forming and editing personal beliefs about prognosis,"Despite acknowledging uncertainty, participants developed specific beliefs about their disease trajectory through multiple sources: salient personal experiences with other MS patients, healthcare provider communication, internet research, and their own disease experiences over time."
"Dennison L, McCloy Smith E, Bradbury K, Galea I (2016) How Do People with Multiple Sclerosis Experience Prognostic Uncertainty and Prognosis Communication? A Qualitative Study. PLoS ONE 11(7): e0158982.",10.1371/journal.pone.0158982,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158982,MS patients' experiences of prognostic uncertainty,Ambivalence towards forecasting the future,"Participants expressed conflicting feelings about receiving detailed prognosis predictions. Primary concerns included hopelessness from negative information and uncertainty about information's practical usefulness when no curative treatments exist."
"Dennison L, McCloy Smith E, Bradbury K, Galea I (2016) How Do People with Multiple Sclerosis Experience Prognostic Uncertainty and Prognosis Communication? A Qualitative Study. PLoS ONE 11(7): e0158982.",10.1371/journal.pone.0158982,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158982,MS patients' experiences of prognostic uncertainty,Prognosis information delivery,"Participants emphasized that prognosis discussions require careful timing (inappropriate at diagnosis), face-to-face delivery, healthcare provider expertise combined with supportive skills, and integration within comprehensive care plans addressing emotional wellbeing alongside medical management."
"Bukhsh A, Goh B-H, Zimbudzi E, Lo C, Aksber N, Khan TM (2020) Type 2 Diabetes Patients' Perspectives, Experiences, and Barriers Toward Diabetes-Related Self-Care: A Qualitative Study From Pakistan. Frontiers in Endocrinology 11: 534873.",10.3389/fendo.2020.534873,https://pmc.ncbi.nlm.nih.gov/articles/PMC7729167/,Pakistani T2DM patients' self-care perspectives and barriers,Role of Family and Friends,"Family members serve as critical support systems, assisting with medicine identification and administration, glucometer operation, hypoglycemia symptom recognition, and initial diabetes diagnosis awareness. However, social gatherings present dietary adherence challenges as culturally unsuitable foods dominate, and patients occasionally skip medications during family events."
"Bukhsh A, Goh B-H, Zimbudzi E, Lo C, Aksber N, Khan TM (2020) Type 2 Diabetes Patients' Perspectives, Experiences, and Barriers Toward Diabetes-Related Self-Care: A Qualitative Study From Pakistan. Frontiers in Endocrinology 11: 534873.",10.3389/fendo.2020.534873,https://pmc.ncbi.nlm.nih.gov/articles/PMC7729167/,Pakistani T2DM patients' self-care perspectives and barriers,Role of Doctors and Healthcare,"Physician counseling significantly influences medication adherence, exercise adoption, and dietary modification understanding. Yet variable experiences emerged -- some received comprehensive education on hypoglycemia management while others received minimal guidance. Patients attended appointments irregularly, primarily seeking free medicines or addressing emergencies rather than routine checkups."
"Bukhsh A, Goh B-H, Zimbudzi E, Lo C, Aksber N, Khan TM (2020) Type 2 Diabetes Patients' Perspectives, Experiences, and Barriers Toward Diabetes-Related Self-Care: A Qualitative Study From Pakistan. Frontiers in Endocrinology 11: 534873.",10.3389/fendo.2020.534873,https://pmc.ncbi.nlm.nih.gov/articles/PMC7729167/,Pakistani T2DM patients' self-care perspectives and barriers,Patients' Understanding About Diabetes,"Family and friends served as primary information sources. Participants harbored misconceptions about diabetes curability and etiology, attributing causes to herbal medicine use, depression, or medication side effects. Symptomatic presentations like frequent urination and fatigue initially drove healthcare visits."
"Bukhsh A, Goh B-H, Zimbudzi E, Lo C, Aksber N, Khan TM (2020) Type 2 Diabetes Patients' Perspectives, Experiences, and Barriers Toward Diabetes-Related Self-Care: A Qualitative Study From Pakistan. Frontiers in Endocrinology 11: 534873.",10.3389/fendo.2020.534873,https://pmc.ncbi.nlm.nih.gov/articles/PMC7729167/,Pakistani T2DM patients' self-care perspectives and barriers,Complications of Diabetes and Other Comorbidities,"Fear of diabetes complications motivated strict medication adherence. Simultaneously, comorbidities including joint pain, fatigue, and heart problems significantly restricted physical activity engagement and exercise sustainability."
"Bukhsh A, Goh B-H, Zimbudzi E, Lo C, Aksber N, Khan TM (2020) Type 2 Diabetes Patients' Perspectives, Experiences, and Barriers Toward Diabetes-Related Self-Care: A Qualitative Study From Pakistan. Frontiers in Endocrinology 11: 534873.",10.3389/fendo.2020.534873,https://pmc.ncbi.nlm.nih.gov/articles/PMC7729167/,Pakistani T2DM patients' self-care perspectives and barriers,Burden of Self-Care,"Food cravings, needle phobia, forgetfulness, and medicine non-adherence emerged as personal behavioral barriers. Psychological resistance to dietary restrictions and injection-related anxiety compromised self-management consistency."
"Bukhsh A, Goh B-H, Zimbudzi E, Lo C, Aksber N, Khan TM (2020) Type 2 Diabetes Patients' Perspectives, Experiences, and Barriers Toward Diabetes-Related Self-Care: A Qualitative Study From Pakistan. Frontiers in Endocrinology 11: 534873.",10.3389/fendo.2020.534873,https://pmc.ncbi.nlm.nih.gov/articles/PMC7729167/,Pakistani T2DM patients' self-care perspectives and barriers,Life Circumstances,"Financial constraints limiting healthy food affordability, hectic work schedules preventing exercise incorporation, weather extremes disrupting physical activity, and household responsibilities substituting perceived exercise needs created systemic obstacles to recommended self-care practices."
"Roikjaer SG, Simony CP, Timm HU (2020) Qualitative study to explore what patients with heart failure find significant during integrated palliative care sessions in a Danish clinic. BMJ Open 10(12): e043955.",10.1136/bmjopen-2020-043955,https://pmc.ncbi.nlm.nih.gov/articles/PMC7780519/,Heart failure patients' experiences of integrated palliative care,Sessions Bring Comfort,"Patients perceived the integrated sessions as addressing their concerns regardless of type. Participants felt cared about, which enabled them to share personal experiences, thoughts or worries and experienced relief from physical, psychosocial, and existential problems."
"Roikjaer SG, Simony CP, Timm HU (2020) Qualitative study to explore what patients with heart failure find significant during integrated palliative care sessions in a Danish clinic. BMJ Open 10(12): e043955.",10.1136/bmjopen-2020-043955,https://pmc.ncbi.nlm.nih.gov/articles/PMC7780519/,Heart failure patients' experiences of integrated palliative care,Telling Your Story Provides a Sense of Meaningfulness,"The narrative approach created genuine interest in patients' lived experiences. Patients interpreted this as genuine interest from the professionals and generated coherence by helping them recognize the bigger picture, thereby creating a sense of meaning."
"Roikjaer SG, Simony CP, Timm HU (2020) Qualitative study to explore what patients with heart failure find significant during integrated palliative care sessions in a Danish clinic. BMJ Open 10(12): e043955.",10.1136/bmjopen-2020-043955,https://pmc.ncbi.nlm.nih.gov/articles/PMC7780519/,Heart failure patients' experiences of integrated palliative care,Integrating Perspectives of Heart Failure Into Everyday Life,"Patients combined embodied understanding with medical knowledge. This integration allowed participants to balance worries with hope and living life while comprehending both physiological aspects and existential implications of their diagnosis."
"Lightbourne A, Foley S, Dempsey M, Cronin M (2023) Living with endometriosis: A reflexive thematic analysis examining women's experiences with the Irish healthcare services. Qualitative Health Research 34(4): 311-322.",10.1177/10497323231214114,https://pmc.ncbi.nlm.nih.gov/articles/PMC10905982/,Women's experiences navigating Irish healthcare for endometriosis,Dismissive Attitudes Normalising Severe Pain,"Healthcare providers minimized women's symptomatology by treating severe pain as typical. Participants recalled being told to embrace feeling unwell or that bad periods are normal. This dismissal occurred at both pre-diagnosis and post-diagnosis stages, undermining patients' lived experiences."
